"ACTR3B","ANLN","BAG1","BCL2","BIRC5","BLVRA","CCNB1","CCNE1","CDC20","CDC6","NUF2","CDH3","CENPF","CEP55","CXXC5","EGFR","ERBB2","ESR1","EXO1","FGFR4","FOXA1","FOXC1","GPR160","GRB7","KIF2C","NDC80","KRT14","KRT17","KRT5","MAPT","MDM2","MELK","MIA","MKI67","MLPH","MMP11","MYBL2","MYC","NAT1","ORC6L","PGR","PHGDH","PTTG1","RRM2","SFRP1","SLC39A6","TMEM45B","TYMS","UBE2C","UBE2T"
0.0535,-1.5595,0.1675,1.358875,-1.685533,-0.078,-1.3595,-1.2765,-1.4942,-2.284667,-2.444625,-0.60425,-1.863273,-2.669167,-0.511667,-0.8994,0.586875,1.626167,-2.1065,-0.455,1.05275,-0.542062,-0.183833,0.2571,-1.80725,-1.493692,1.400786,1.3031,1.1091,1.082125,-0.106667,-2.326889,2.40475,-2.9215,0.087625,0.5035,-1.885,-1.127,2.6054,-1.532273,3.346667,-0.513125,-1.821667,-2.476,0.839625,1.7544,2.3605,-2.481,-1.774125,-1.926
-0.439,-0.349,0.67375,0.24375,-0.170933,0.798,-0.4515,-0.293625,-0.168,-0.009833,-0.8555,-0.2375,-0.367182,-0.6,0.186,1.2241,-0.4395,1.249333,-0.2965,-0.878833,0.349,0.812938,0.272667,-0.3257,-0.29275,-0.445462,0.975214,0.3877,1.4565,0.017571,-0.435333,-0.819,1.308,0.144,0.7455,-1.310667,-0.53925,-0.760188,0.7763,-0.804091,2.050167,0.480125,-0.195833,-0.47825,2.92575,2.4613,1.11725,0.2585,-0.442,-0.432333
-0.6585,-0.657667,0.34275,0.206,-0.549867,-0.159625,-0.5615,-0.172625,-0.3554,-0.263167,-0.234,-0.20525,-0.003636,-0.214833,0.586833,-0.3976,-0.222,0.055,-0.1145,-0.535,0.081,0.022,-0.454833,-0.6043,-0.358,-0.535077,0.385429,0.3624,0.2289,0.61575,-0.08575,-0.361333,-0.06625,-0.28525,0.127875,0.247167,-0.738375,0.609125,1.3342,-0.762818,3.907167,-1.847,-0.538167,-0.4975,-0.582375,0.5933,0.35775,0.011375,-0.932,-0.508833
-0.69125,0.011167,-0.64325,-2.341,-0.163533,0.7045,0.4495,3.122875,0.2048,-0.791,-0.863875,1.12475,-0.772364,-0.184333,-0.363333,0.2297,-0.819125,-2.064333,-0.59175,-0.189667,-0.062375,0.776313,2.66,-0.697,0.1415,0.035692,0.018286,0.3865,0.0804,-0.516125,0.201583,-0.397556,-0.40075,-0.2325,-0.53525,0.5455,0.1115,-0.9215,-0.4172,0.487818,-2.181333,0.341125,-0.147833,0.620125,-0.815125,0.8985,-0.31975,-0.0215,-0.07425,-1.003
0.032,1.747167,-0.62375,-2.771,1.485067,-0.48975,1.15025,2.16625,2.2215,1.3035,1.129125,1.95075,0.519273,1.151,-2.524333,1.851,-1.674375,-6.837583,1.9485,0.603,-5.680125,3.485812,-2.968833,0.3381,1.86525,2.305385,0.629286,2.5369,2.1495,-2.239375,-0.446833,1.191889,5.2215,0.81675,-4.587875,-1.499167,2.294375,1.494,-4.4616,1.954364,-3.4455,1.613625,0.640833,0.9185,3.6525,-1.5014,-2.294375,2.226,1.62625,1.438833
-0.542125,0.989167,0.73825,0.381875,0.9146,0.488375,0.24175,-0.492375,0.5145,0.949833,0.05625,0.32875,0.548545,0.592333,1.150833,-0.8462,-0.244125,0.79125,-0.213,-0.4345,0.420875,-1.608562,-0.507333,-1.0079,0.6695,0.362923,0.222071,0.8631,0.2814,1.165875,-0.244167,0.245333,-0.11825,0.1515,0.307875,0.624167,-0.136375,-0.57025,0.5728,-0.531636,3.687167,0.2215,0.028667,0.73175,-2.620875,1.2272,0.5235,0.629125,-0.0045,-0.060333
0.233125,-0.455667,0.1795,-0.49075,0.165933,0.324875,0.08775,0.412875,-0.1416,-0.030833,-0.425375,-1.55525,-0.572182,0.1095,1.152333,-0.9025,-0.01325,1.16975,0.0325,-0.725833,0,-0.68425,-0.1625,-0.7829,-0.33225,-0.046462,0.718714,0.0337,0.5827,0.03425,1.049417,0.065778,0.25375,-0.345,0.58375,-0.756,0.2455,-0.051875,1.4534,0.191182,-1.393667,-1.0565,-1.0195,-0.632,0.474375,0.699,-2.45675,0.452875,0.559875,-0.517833
-0.150875,-0.180333,-0.357,0.651625,-0.4924,0.624,-0.995,0.678375,-0.4915,0.143333,-1.006375,-1.4945,-1.032455,-0.782167,1.004167,-1.525,0.13875,-0.744167,-0.61025,1.080667,-0.2855,-0.404,-0.354667,-0.472,-0.51125,-0.242615,-1.534786,-1.9466,-1.8538,0,0.3975,-0.451444,-2.712,-1.453,0.291125,0.379833,-0.422625,1.140438,-0.2379,-0.208455,0.104333,-1.12675,-1.262,0.734625,-3.53825,0.1713,0.227125,0.0355,-1.14675,-0.0525
0.651375,-1.815167,2.7385,1.56175,-1.486067,-0.2955,-1.38875,-0.462,-1.1348,-1.448167,-0.841375,-0.6435,-1.871,-2.067667,0.312667,0.553,-0.24275,1.1355,-1.3205,-0.426667,0.8035,-0.705,-0.802333,0.1939,-1.5105,-1.332923,0.887357,1.1543,0.6009,0.9525,0.09925,-2.038889,0.92475,-1.82325,0.90575,-0.789167,-1.196375,0.43475,1.6735,-0.806909,1.923833,-0.911625,-1.100167,-1.295375,-1.093,1.5556,-0.71975,-2.40725,-1.336125,-1.042667
0.3495,0.985833,0.17675,-1.264125,0.405,0.230125,-0.30925,-0.327625,0.2117,-0.420833,-0.52675,-0.07075,-0.328364,0.493167,0.283833,-0.0017,-0.945625,-0.429333,0.10225,1.6215,-0.1105,0.263313,-0.1,-0.9766,-0.32425,-0.251538,-1.764929,-2.1,-1.8285,-0.200625,-0.194,0.159556,-2.2825,0.08175,-0.3105,0.454167,0.3865,-0.13375,1.4713,-0.429909,1.927333,-1.209,-0.473167,0.078125,0.094125,-1.5024,-0.637875,-0.456625,0.034,-0.024
